Range,Days,Active %,Rebalances,Gross Fees ($),Gas+Slippage ($),Net Fees ($),Fee APR,IL (%),Pool Value ($),Total Value ($),HODL Value ($),Total Return,vs HODL
±2%,365,100.0%,469,"$91,250",$385,"$90,865",908.6%,-100.00%,$0,"$90,865","$8,252",+808.65%,+1001.07%
±3%,365,100.0%,273,"$60,833",$262,"$60,571",605.7%,-100.00%,$0,"$60,571","$8,252",+505.71%,+633.99%
±4%,365,100.0%,168,"$45,625",$196,"$45,429",454.3%,-99.76%,$20,"$45,448","$8,252",+354.48%,+450.73%
±5%,365,100.0%,120,"$36,500",$156,"$36,344",363.4%,-99.40%,$50,"$36,394","$8,252",+263.94%,+341.01%
±7%,365,100.0%,63,"$26,071",$109,"$25,962",259.6%,-97.41%,$213,"$26,176","$8,252",+161.76%,+217.19%
±10%,365,100.0%,37,"$18,250",$74,"$18,176",181.8%,-95.34%,$384,"$18,561","$8,252",+85.61%,+124.91%
±15%,365,100.0%,15,"$12,167",$46,"$12,121",121.2%,-83.79%,"$1,337","$13,458","$8,252",+34.58%,+63.08%
±20%,365,100.0%,11,"$9,125",$33,"$9,092",90.9%,-81.81%,"$1,501","$10,593","$8,252",+5.93%,+28.36%
±25%,365,100.0%,9,"$7,300",$29,"$7,271",72.7%,-82.61%,"$1,435","$8,706","$8,252",-12.94%,+5.49%
±30%,365,100.0%,5,"$6,083",$17,"$6,066",60.7%,-70.27%,"$2,453","$8,519","$8,252",-14.81%,+3.23%
±40%,365,100.0%,1,"$4,562",$4,"$4,558",45.6%,-37.66%,"$5,144","$9,703","$8,252",-2.97%,+17.57%
±50%,365,100.0%,0,"$3,650",$0,"$3,650",36.5%,-23.77%,"$6,290","$9,940","$8,252",-0.60%,+20.46%
